# Ground-truth shot outcomes for IMG_2403.MOV, called by review in the poolean
# app on 2026-07-30 by watching each clip. One shooter played in this footage, so these
# are authoritative over anything the pipeline reports.
#
# Exported from the vision_shots collection. Kept in git because the footage is
# too big to commit and is replaceable, while these calls are the expensive part
# and are what any make/miss model gets measured against.
#
# outcome  make     through the rim and out the bottom of the net
#          inout    dropped into the rim and came back out
#          behind   passed behind the hoop without going through (looks like a
#                   make from this camera -- the main false positive)
#          offiron  hit rim, backboard or both, stayed out
#          airball  touched nothing
#          airnet   missed the rim but swished or brushed the net (defeats any
#                   net-contact signal)
#          notshot  a pass, a throw-back, not an attempt
#
clip,time,hoop,outcome,durationS,detections,notes
1,4:52,left,offiron,2.67,9,
2,4:54,left,make,4,15,
3,4:58,right,behind,3.9,8,
4,5:14,left,make,3.93,10,
5,5:19,left,make,2.9,14,
6,5:21,left,make,3.5,16,
7,5:25,right,airnet,3.8,12,
8,5:31,right,offiron,4.37,19,
9,5:39,left,make,3.5,4,
10,5:46,left,make,4.7,31,
11,5:49,right,offiron,4.1,13,
12,5:53,right,airnet,3.57,5,Grazed net but went under
13,5:58,left,offiron,3.8,14,
14,6:01,left,make,4.2,19,
15,6:05,right,offiron,4.37,23,
16,6:09,right,make,4.4,19,
17,6:14,right,make,4.1,12,
18,6:17,left,offiron,1.8,5,
19,6:18,left,behind,2.73,6,
20,6:28,right,make,3.93,5,
21,6:35,left,make,4.3,11,
22,6:39,left,airball,3.6,5,
23,6:43,left,offiron,4,15,
24,6:52,left,make,3.6,6,dunk
25,6:55,left,offiron,2.9,44,attempted dunk
26,6:57,left,make,4.83,48,dunk
27,7:02,right,offiron,3.83,13,
